Account Name,IP Address,Location,Date and Time
xxxxxxxxxxxx,108.64.45.187,"Benton, Arkansas, United States","Sunday, January 8, 2017 at 7:46:32 AM Central Standard Time"
xxxxxxxxxxxx,24.144.24.103,"Conway, Arkansas, United States","Sunday, January 8, 2017 at 2:08:42 PM Central Standard Time"
xxxxxxxxxxxx,166.173.62.123,"Oklahoma City, Oklahoma, United States","Sunday, January 8, 2017 at 3:38:24 PM Central Standard Time"
xxxxxxxxxxxx,73.133.196.202,"North Bethesda, Maryland, United States","Sunday, January 8, 2017 at 8:08:30 PM Central Standard Time"
xxxxxxxxxxxx,73.133.196.202,"North Bethesda, Maryland, United States","Sunday, January 8, 2017 at 8:08:31 PM Central Standard Time"
xxxxxxxxxxxx,73.133.196.202,"North Bethesda, Maryland, United States","Sunday, January 8, 2017 at 8:08:30 PM Central Standard Time"
xxxxxxxxxxxx,2601:381:8101:1b0f:d066:4f15:899b:dc49,"Little Rock, Arkansas, United States","Sunday, January 8, 2017 at 8:52:47 PM Central Standard Time"
xxxxxxxxxxxx,2601:381:8101:1b0f:d066:4f15:899b:dc49,"Little Rock, Arkansas, United States","Sunday, January 8, 2017 at 8:52:46 PM Central Standard Time"
xxxxxxxxxxxx,2601:381:8101:1b0f:d066:4f15:899b:dc49,"Little Rock, Arkansas, United States","Sunday, January 8, 2017 at 8:52:47 PM Central Standard Time"
xxxxxxxxxxxx,2601:381:8101:1b0f:d066:4f15:899b:dc49,"Little Rock, Arkansas, United States","Sunday, January 8, 2017 at 8:52:47 PM Central Standard Time"
xxxxxxxxxxxx,2602:30a:c071:a260:6c0d:5d86:be0f:a774,"Little Rock, Arkansas, United States","Sunday, January 8, 2017 at 9:36:11 PM Central Standard Time"
xxxxxxxxxxxx,99.195.220.83,"Cabot, Arkansas, United States","Sunday, January 8, 2017 at 11:41:13 PM Central Standard Time"
xxxxxxxxxxxx,2601:140:8000:54de:ed32:8d54:1adc:ba75,"Alexandria, Virginia, United States","Monday, January 9, 2017 at 5:29:52 AM Central Standard Time"
xxxxxxxxxxxx,107.140.167.130,"Little Rock, Arkansas, United States","Monday, January 9, 2017 at 5:51:54 AM Central Standard Time"
xxxxxxxxxxxx,159.63.69.22,"Huntsville, Alabama, United States","Monday, January 9, 2017 at 8:09:10 AM Central Standard Time"
xxxxxxxxxxxx,159.63.69.22,"Huntsville, Alabama, United States","Monday, January 9, 2017 at 8:09:10 AM Central Standard Time"
xxxxxxxxxxxx,166.173.60.116,"Dallas, Texas, United States","Monday, January 9, 2017 at 8:41:15 AM Central Standard Time"
xxxxxxxxxxxx,2607:f8b0:400c:c08::217,United States,"Monday, January 9, 2017 at 10:11:00 AM Central Standard Time"
xxxxxxxxxxxx,72.168.145.104,"Ontario, California, United States","Monday, January 9, 2017 at 1:53:53 PM Central Standard Time"
xxxxxxxxxxxx,2601:381:4203:241e:7d0b:5fc0:ae42:66ba,"Little Rock, Arkansas, United States","Monday, January 9, 2017 at 2:47:13 PM Central Standard Time"
xxxxxxxxxxxx,2601:381:4203:241e:7d0b:5fc0:ae42:66ba,"Little Rock, Arkansas, United States","Monday, January 9, 2017 at 2:47:14 PM Central Standard Time"
xxxxxxxxxxxx,166.177.121.119,"Dallas, Texas, United States","Monday, January 9, 2017 at 3:59:13 PM Central Standard Time"
xxxxxxxxxxxx,73.133.196.202,"North Bethesda, Maryland, United States","Monday, January 9, 2017 at 8:25:58 PM Central Standard Time"
xxxxxxxxxxxx,73.133.196.202,"North Bethesda, Maryland, United States","Monday, January 9, 2017 at 8:25:58 PM Central Standard Time"
xxxxxxxxxxxx,2602:304:ce4d:5130:e9da:509a:c1ba:4d5a,"Camden, Arkansas, United States","Monday, January 9, 2017 at 8:49:46 PM Central Standard Time"
xxxxxxxxxxxx,166.137.216.219,"Dallas, Texas, United States","Monday, January 9, 2017 at 9:05:31 PM Central Standard Time"
xxxxxxxxxxxx,166.137.216.219,"Dallas, Texas, United States","Monday, January 9, 2017 at 9:05:30 PM Central Standard Time"
xxxxxxxxxxxx,166.137.216.219,"Dallas, Texas, United States","Monday, January 9, 2017 at 9:05:31 PM Central Standard Time"
xxxxxxxxxxxx,166.137.216.219,"Dallas, Texas, United States","Monday, January 9, 2017 at 9:05:30 PM Central Standard Time"
xxxxxxxxxxxx,73.129.119.60,"Westminster, Maryland, United States","Tuesday, January 10, 2017 at 12:10:01 AM Central Standard Time"
xxxxxxxxxxxx,2602:30a:c071:a260:4d59:9f8a:3d13:dc12,"Little Rock, Arkansas, United States","Tuesday, January 10, 2017 at 1:50:54 AM Central Standard Time"
xxxxxxxxxxxx,107.140.167.130,"Monticello, Arkansas, United States","Tuesday, January 10, 2017 at 5:52:17 AM Central Standard Time"
xxxxxxxxxxxx,75.42.10.240,"Little Rock, Arkansas, United States","Tuesday, January 10, 2017 at 7:09:25 AM Central Standard Time"
xxxxxxxxxxxx,159.63.69.22,"Huntsville, Alabama, United States","Tuesday, January 10, 2017 at 9:10:12 AM Central Standard Time"
xxxxxxxxxxxx,159.63.69.22,"Huntsville, Alabama, United States","Tuesday, January 10, 2017 at 9:10:11 AM Central Standard Time"
